ID ,"How many minutes did you sleep LAST NIGHT - i.e., the night before you took the cognitive tests? ",What was your MEAN number of times you awoke during the night?,What was the STANDARD DEVIATION of the number of times you awoke during the night?,What was your MEAN total minutes of sleep DURING THE NIGHT?,What was the STANDARD DEVIATION of your total minutes of sleep DURING THE NIGHT?,What was your MEAN restfulness rank?,What was the STANDARD DEVIATION of your restfulness rank?,What was your MEAN total MINUTES of active exercise over past 24 hours?,What was the STANDARD DEVIATION of the total MINUTES of active exercise over past 24 hours?,What was your MEAN stress level over the last 24 hours?,What was the STANDARD DEVIATION of your stress level over the last 24 hours?,What was your MEAN amount of caffeine (mg) you ingested in the past 24 hours?,What was the STANDARD DEVIATION of the amount of caffeine (mg) you ingested in the past 24 hours?,How many nights did you take something to help you sleep last week ,What was your mean RT?,What was your median RT?,What was your max RT?,What was your min RT?,What was your mean RT500?,What was your median RT500?,What was your max RT500??,What was your min RT500?,What was your number of lapses (column X)?,What was your mean lapse RT?,What was your cumulative lapse RT ?,What was your count of false starts ?,What was your false start RT?,"Memory Test: What was the total time it took you to complete the first test, in SECONDS? Do NOT record this in minutes and seconds.",Memory test: How many errors did you have on your first test?,"Memory Test: What was the total time it took you to complete the second test, in SECONDS? Do NOT record this in minutes and seconds.",Memory test: How many errors did you have on your second test?,"How rested do you feel right now, on a scale of 1-10, where 1=not rested at all and 10=very well rested? Please note, if you are filling out this survey AFTER your lab has ended, try to answer this based on how rested you felt DURING lab.",What was your MEAN total minutes of sleep DURING THE NIGHT?,Memory Test 1: Herustic score,Memory Test 2: Herustic score
96,525,0.143,0.244,530.714,69.8485,6.5,2.239,15.714,15.119,6.2855,1.918,93.9285,70.0345,7,455.5,413.5,2415.5,303,397.24,397.5,498.5,303,16,170.555,3213.5,0,0,121,0,116.5,0,6.5,507.857,121,116.5
97,350,2.0635,1.245,496.7855,117.0175,5.5695,2.204,28.573,27.7545,6.4985,2.067,135.715,94.49,0,321.6136404,301,502.5,262.5,314.3459202,298,447.5,262.5,3,NA,NA,2.5,3.071545639,144.91,0,125.795,0,4.5,490.357,144.91,125.795
98,505,1.143,1.0575,514.143,55.9145,7,0.934,39.286,13.0945,5.714,1.017,112.143,72.8705,3.5,406.9307,392.25,949,290,390.885,388,489,290,6.5,96.875,682.5,0.5,0.595238,123.5,0.5,97.5,0,7,514.143,126,97.5
99,452.5,0,0,485.3575,43.0775,7.7855,1.276,25.952,44.81,4.786,2.2025,42.857,78.6795,0,398.367,355.25,1791,290,362.0872,352.5,488.5,290,6,299.61115,2046.5,2,2.5044725,122.5,0,124.4,0,8,480,122.5,124.4
100,585,0.571,1.134,567.857,100.41,4.429,0.976,30,11.547,8.571,0.787,210,0,0,386.6509,371,812.5,297,379.26355,368.75,498,297,2,160,320,0,0,157.245,0,142.995,0.5,7,533.571,157.245,145.495
101,362.5,0.5,0.535,294.643,147.1765,4.6425,2.2925,100.7145,159.6,7.143,1.556,58.286,73.2515,0,345.5894,330.5,1088,290,335.4690475,330.25,465.5,290,1,NA,NA,0,0,131,0,115,0,5,294.643,131,115
102,320,2.5715,2.5765,324.0715,134.7315,5.2145,1.516,70.7145,16.743,6.5,0.7965,93.643,40.1845,0,1156.931305,688.75,8477,188.5,416.4791667,430,489,188.5,44.5,982.5116517,43059,47.5,75.74473549,248,0,165,0,6.5,305.2145,248,165
103,457.5,0.857,0.9645,430.3575,95.207,5.786,1.9365,65.09,26.4575,5.2855,1.86,165,90.9215,0,345.2237,329.25,610.5,266,337.4,327.5,470.5,266,2.5,77.25,198.5,1,1.290376,111.85,0,106.66,0,6,427.143,111.85,106.66
104,450,0.0715,0.189,500.357,60.3355,252.643,24.673,26.7855,23.594,7,1.392,62.5715,30.3455,0,366.2392,352.75,830,269.5,358.00115,349.75,493,269.5,2,NA,NA,0.5,0.595238,127.5,0,115.5,0,7.5,496.0715,127.5,115.5
105,450,0.5715,1.031,3.9285,6.748,7.571,1.985,62.5,31.1065,7.643,2.7295,340.4165,156.353,1.5,299.75305,293.5,474.5,239,298.15665,293,400.5,239,0.5,NA,NA,1,1.2048095,119,0,107.5,0,3.5,485.8575,119,107.5
106,539.5,0.2855,0.3935,532.214,142.778,8,0,60,0,7,0,0,0,1,343.9526014,337.25,469.5,293,343.9526014,337.25,469.5,293,0,NA,NA,0,0,116,0,114.5,0,7.5,532.214,116,114.5
107,385,0.7855,0.9015,526.381,128.451,8.2855,1.7805,55.357,42.5075,2.643,2.085,0,0,0,364.904,352.5,594,282.5,357.81785,349.5,465,282.5,3,52.499835,157.5,0,0,134.5,0,125,0.5,7,479.7145,134.5,127.5
108,486,0.6425,0.9485,490.143,109.9155,5.8575,0.88,94.2855,67.023,5.7855,0.2675,0,0,0,372.8299,365.5,658,291,361.4891,361.5,483.5,291,5,46.39,321.5,3.5,4.375,126,0,133,0,6.5,490.143,126,133
109,366,0.3575,0.945,397.0715,45.5025,6.4285,1.5175,163.7145,79.596,5.0715,0.866,12.5,33.072,0,350.0655,348.5,449.5,231,350.0655,348.5,449.5,231,0,NA,NA,1,1.1976475,131,0,116,0,5.5,395.643,131,116
110,435,0.238,0.597,498.5715,56.4725,5.8575,1.486,127.143,27.452,4.786,1.697,500,0,0,331.76575,315.5,795.5,266,338.5232,325.5,454.5,273.5,1,NA,NA,0.5,0.6329115,140.22,0,129.94,0,5.5,495,140.22,129.94
111,412.5,0,0,482.8575,109.8485,7,1.429,126.4285,37.006,9.1425,0.9425,250,56.123,7,335.805,315.5,567,273.5,330.475,315.5,487.5,273.5,2,52.835,59.202,1,1.215,116.5,0,112.5,0,4.5,429.214,116.5,112.5
112,360,2.286,1.5365,530.357,92.0835,5.3575,1.6555,46.4285,18.04,6.4285,1.9535,17.5715,29.7555,1,356.47745,338,812,249.5,344.00665,336,491,249.5,3.5,164.1,454.5,0,0,139,0,137,0.5,4,463.571,139,139.5
113,396.5,1.7855,0.9125,457.143,114.1575,5.714,1.2235,81.714,49.5215,5.286,0.622,138.5715,86.291,3.5,354.4071085,346.5,495,290,353.3571085,346,478.5,290,0.5,NA,NA,0.5,0.602409639,128,0.5,114,0,6,440.143,130.5,114
114,319,0.4285,0.7455,404.714,109.1725,6.357,1.207,87.857,5.6695,4.7145,1.0445,0,0,0,328.2019783,314.25,552.5,266.5,324.2482353,313.5,463,266.5,1.5,33.75,54,0,0,157,0,142,0,3,348.2855,157,142
115,465,1,1.0575,438.5715,40.5345,5.643,1.2725,77.857,36.652,6.357,1.588,4.4285,8.3675,0,355.7205,345.5,526,288.5,178.1314,345.5,486,288.5,0.5,NA,NA,1,1.19045,114.5,0,113.5,1,5.5,428.5715,114.5,118.5
116,380,0.7855,0.2675,434.7145,71.078,6,1.005,60.643,23.1165,5.7855,1.2345,16.7855,30.163,0,430.7986,296.5,5461.5,252.5,301.45535,295,489,252.5,3.5,NA,NA,2.5,3.1807855,107,0,101,0,6,430.7145,107,101
117,425,0.7145,0.6755,479.643,59.102,6.643,0.7385,107.1425,23.355,4.4285,0.88,100,106.904,0,371.7699,360.25,658.5,201.5,358.969,357.5,488,201.5,5.5,48.160715,282,1,1.265823,148.5,1,124.5,0,6,449.6425,153.5,124.5
118,460,1.357,1.035,494.643,70.5735,5.2855,2.049,37.1425,37.637,8.214,1.0955,217.8575,31.869,1.5,349.18197,346,477.5,289.5,349.18197,346,477.5,289.5,0,NA,NA,1.5,1.83697765,103.5,0,102,0,4.5,491.786,103.5,102
119,480,2.857,1.0955,462.8575,60.0535,6.5715,1.2825,41.7855,15.152,5.1425,1.549,151.143,68.2715,0,323.1175,300.5,621.5,242,313.9556,297.5,472.5,242,3,90.375,240.5,0,0,136.7,0,132.4,0,7.5,454.286,136.7,132.4
120,475,1.5,1.1005,517.857,52.226,6.8285,1.05,34.357,17.991,6.8175,1.6635,127.857,85.4915,1.5,367.8315,321.5,1217,248.5,329.611,318.75,459,248.5,5.5,274.94445,2184,0.5,0.617284,126,0,116.5,0.5,7,504.855,126,119
121,442.5,0,0,0,0,6.714,0.6125,55.286,22.642,6.7145,1.4015,0,0,0,334.34295,298.5,1009,254.5,313.40165,298,454.5,254.5,4,248.875,995.5,4,4.676,145.5,0,133.5,0,6.5,437.5,145.5,133.5
122,487.5,0.857,0.9,511.429,47.7925,6.857,1.345,38.5715,27.3745,6.0715,1.197,175.7145,21.725,0,334.425,314,782.5,262.5,322.695,312.25,464,262.5,3.5,161.415,336,7,8.679,149.5,0.5,132.5,0,6.5,511.429,152,132.5
123,493,1.9285,1.0445,531.7855,89.7105,7.7145,1.044,58.9285,17.4195,6.5,1.2775,310.2145,79.329,7,408.925,361,910,301,373.6594102,354.5,487.5,301,10.5,125.3636364,1411,0,0,135.5,0,128,0.5,6.5,503.4285,135.5,130.5
124,334,0.714,1.113,480.7855,127.718,5.5715,1.8515,43.393,22.3105,7.6875,1.305,38.357,48.427,1.5,415.2528,390,701,303.5,391.0832,378.5,499.5,303.5,11,70.28605,727.499945,0.5,0.625,178,0,186.5,0,3.5,420.143,178,186.5
125,570,2.643,2.1615,491.07,54.3805,6.107,2.244,40,28.3255,5.0715,2.5635,194.286,226.2395,1,375.374,306.75,22495,257,316.0565,303.5,468,257,4.5,14.414215,4294,2.5,2.935335,80.17,0,72.095,0,8,487.0715,80.17,72.095
126,471,1,1.2235,503.357,90.5425,6.5715,1.112,38.9285,17.8965,6.2855,1.1335,227.643,87.0125,1.5,318.6665,310.25,459,250,318.6665,310.25,459,250,0,NA,NA,0,0,141.345,0.5,127.805,0,6.5,494.714,143.845,127.805
127,510,1.286,0.677,504.643,80.6345,6.5715,1.0205,21.0715,8.7795,6.357,0.802,107.143,18.898,0,311.3595,307.75,549.5,237,309.236,307.75,436.5,237,0.5,NA,NA,0.5,0.609755,108.67,0,93.58,0,6,496.0715,108.67,93.58
128,371,0.857,1.001,0,0,3.5715,1.2725,11.143,5.2985,6.143,2.3515,0,0,4,420.72125,405.75,677.5,305,397.254,393.25,492,305,11.5,68.240215,803.5,1.5,1.875,140.5,0,139.5,0,4,465.1425,140.5,139.5
129,720,3,1.3585,601.4285,78.8095,5.6425,1.987,75,43.185,7.5,1.4875,77.2855,70.3935,0,343.6173,333.5,504.5,276.5,341.1103,333.5,468.5,276.5,1,NA,NA,0.5,0.617284,106,0,108.5,0,5,556.0715,106,108.5
130,420,0.2145,0.2675,540,82.7075,6.5,2.3385,41,24.141,6,2.2535,226.5,0,3,337.39375,326.25,693.5,278,330.6112,324,454.5,278,2,104.5,209,2,2.485333,132,0,123,0,4.5,507.857,132,123
131,489,2.929,2.0625,468.143,45.911,4.286,2.1455,88.2145,33.0185,3.286,1.5695,171.4285,140.6055,4.5,313.37855,308.5,483.5,268,310.39815,307,388,268,1,NA,NA,0.5,0.6410255,126.39,0,108.37,0,4.5,467.786,126.39,108.37
132,540,0.5715,0.787,574.2855,35.2335,8.5715,1.091,45.9285,16.7615,4.357,1.901,26.4285,45.1485,0,358.0101,339.75,871.5,276.5,345.9453,337.5,475.5,276.5,3.5,102.4,479,0.5,0.595238,136.56,0,136.725,0,7,559.2855,136.56,136.725
133,450,0.0715,0.189,412.1425,60.0465,8.143,0.786,85.7145,55.9335,6.857,1.244,0,0,1.5,384.79725,186.7512915,782.5,235.5,368.27235,366.75,480,235.5,6,108.4325,568.5,2,2.4127905,128.795,0.5,108.075,1,8.5,412.1425,131.295,113.075
134,480,0,0,445.7145,62.453,7.857,0.69,47.143,19.82,6.6425,0.95,0,0,0,311.6142462,304,451.5,254,311.6142462,304,451.5,254,0,NA,NA,1.5,1.852423393,173.455,0,174.67,0,8,445.7145,173.455,174.67
135,452.5,0.2145,0.567,496.429,40.693,6.714,1.113,61.429,29.114,6.714,1.496,4,6.831,0,445.45715,422,975.5,295,404.5702,402.75,498,295,16,106.002145,1846.5,1.5,1.923077,156.385,0,139.395,0,6,496.429,156.385,139.395
136,470,3.25,1.2,477.5,240.1,5.3,1.95,3.25,8.5,8.05,1.2,71,95.4,0,315.06,298,684,245,307.75,297.25,483,245,1.5,153.75,302,0.5,0.61,136.575,0,121.64,0,7,431.8,136.575,121.64
137,462.5,0.143,0.244,448.571,50.5895,8.143,0.9525,35,12.233,4.643,1.5285,323.4285,185.7965,0,352.91105,340.75,527.5,275,348.57315,340.25,490.5,275,2,NA,NA,0,0,135.5,0,128.5,0,8,443.5715,135.5,128.5
138,490,0.143,0.244,486.786,62.566,6.143,1.603,57.143,19.0495,5,1.2775,171.143,128.975,1.5,404.4212628,398,567.5,302,388.0930556,386.5,485.5,302,10,36.28125,354,1.5,1.86106088,145.5,0,144.5,0,5.5,486.786,145.5,144.5
139,394.5,2.286,1.499,443.357,97.055,5.8575,2.209,11.0715,19.834,6.286,2.1535,277.4285,52.783,1.5,355.65605,344.25,521.5,281,350.9594,339.5,472,281,2,NA,NA,4,5.15318,186.26,0,175.925,0,4.5,433.4285,186.26,175.925
140,565,0,0,464.286,65.9065,6.857,1.716,37.5,6.8765,5.286,1.2395,23.5715,62.364,0,533.67855,473.5,1693.5,336,425.27675,422.75,499,336,28.5,242.55355,6295.5,3,3.8877805,225.94,0,236.475,0,7.5,451.4285,225.94,236.475
141,475,4.2145,1.891,473.2145,61.723,5.9285,1.4205,36.4285,9.7345,5,0.9855,219.286,38.614,0,380.96245,344.5,1814,288.5,353.17565,343,478,288.5,4,408.125,1632.5,1,1.235321,172.095,0,166.525,0,6.5,473.2144286,172.095,166.525
142,435,1.2855,0.8015,504.643,85.623,4.7145,1.067,26.7855,26.9525,8.143,1.053,79.1425,74.706,6,411.84325,397.25,617.5,314,398.3333,392,486.5,314,7,50.92947,356.5,0,0,127.335,0,116.83,0,4.5,487.857,127.335,116.83
143,390,2.357,1.476,484.5,58.345,5.7145,2.156,52.5,20.414,4.9285,1.898,35.714,94.491,0,389.29645,370.5,1049.5,247,372.08125,367.25,484,247,5,169.58335,784.5,1.5,1.7857145,154.5,1,139,0,2.5,477.5,159.5,139
144,547.5,2.0715,1.14,539.9285,40.119,7.143,0.9,70.357,62.2655,6.9285,1.555,8.4285,14.4665,0,346.9233132,337.75,517.5,287.5,343.0592132,336.5,466.5,287.5,1.5,NA,NA,0,0,239.5,0,139,0,7,518.5,239.5,139
145,472.5,0.0715,0.189,434.048,41.5535,4.857,0.8795,28.9285,10.382,5.214,1.4575,0,0,0,376.49425,345.5,1721.5,279.5,351.6617125,342.75,471.5,279.5,4,208.9285715,1450.5,0,0,118.5,1,113.5,0.5,3,439.643,123.5,116
146,391,1.5715,1.7475,380.5,81.4875,4.2855,3.2825,1.665,2.582,6.3575,1.7585,0.714,0.7385,3,358.1554,337.1,836,192.5,341.7981,334.5,484,192.5,3.5,166.25,674.5,12.5,16.891894,114,0,110,0,3,369.0715,114,110
147,330,0.3575,0.7715,456.4285,76.053,6.143,2.4315,6.4285,8.018,5.9285,2.0365,83.4285,117.214,2.5,311.84555,301.75,554.5,260,309.65125,301.75,409,260,0.5,NA,NA,1.5,1.800232,124,0,111.5,0,5.5,450,124,111.5
148,431,1.7145,1.8165,485.6425,86.29,7,1.7245,78.5715,38.745,5.7145,1.217,590.0715,113.0325,5.5,375.3521951,364.5,939.5,169.5,361.2442593,363.5,484.5,169.5,3.5,378.835,680.5,1.5,1.83,129.47,0,133.95,0,5.5,479.214,129.47,133.95
149,482.5,0.857,0.652,483.143,30.4865,6.7145,1.0445,0.0715,0.189,7.4285,1.109,120.5715,38.3215,0,361.3727941,335.25,832.5,263.5,343.82835,327.75,491.5,263.5,5,131.9,659.5,1,1.213235294,108.5,0,101.5,0,6.5,478.8572857,108.5,101.5
150,557.5,0.8575,0.824,561.4285,89.2045,7.2145,1.7415,181.0715,92.409,5.4285,2.241,135,119.107,0.5,420.61095,390.5,1093,147.5,374.27645,367.25,496,147.5,11.5,166.6912,2336,4,5.06,145,1,127.5,1,7.5,561.4285,150,132.5
151,465,0.9285,0.723,537.2855,49.779,5.491,1.3585,26.7855,11.1705,5.857,1.275,32.1425,59.584,1,344.9055,327.5,662.5,252,337.4885,327,471.5,252,2.5,100.875,210,0.5,0.649,141.35,0,123.465,0,5,536.2105,141.35,123.465
152,420,0.714,1.113,566.786,124.6525,6,2.1325,67.4285,87.3705,8.5715,1.055,133.857,178.5735,2,379.89465,353.5,960,258,342.2598,330.25,491,258,8.5,NA,NA,4.5,5.6656995,108.5,0,115.5,0,5,563.5715,108.5,115.5
153,487.5,1,1.3415,563.5715,64.7045,7.643,1.5565,50.714,23.0395,5.6425,2.0595,255.707,45.3865,4.5,358.4480465,348.75,1076.5,166,347.71,347.5,484,166,-62.5,408.5,588.5,0.5,0.58,121.5,0,128,0,6.5,511.4285,121.5,128
154,362.5,0.5715,0.589,463.5715,64.78,6.5715,1.2975,58.2145,9.3055,7.143,1.1805,78.286,74.368,0,376.82045,341.75,1130,262.5,346.2912,331.75,482.5,262.5,6.5,217.775,1489,0.5,0.625,118.5,0,109.5,0,6,463.5715,118.5,109.5
155,555,0.3575,0.945,513.5715,51.9735,4.4285,0.9225,32.5,9.5425,5.786,1.8765,85.5715,61.172,7,323.1027,310.25,588.5,176.5,316.4825,308.5,487.5,176.5,203.5,73,146,11,14.66675,141,0,131.9,0,4,498.5715,141,131.9
156,427.5,0.143,0.378,456.4285,55.6005,4.9285,23.5505,76.0715,31.7245,5,1.76,239.5715,23.517,1.5,168.7,309,589.5,256.5,316.2503334,309,494,256.5,0.5,NA,NA,0.5,0.657894737,104.5,0,95,0,3,456.4285,104.5,95
157,472.5,0.0715,0.189,517.1425,50.3145,5.7145,1.2815,22.857,18.676,6.286,1.206,0,0,7,343.5258,330,541.5,271,341.16385,329.75,484,271,1,41.5,41.5,0.5,0.609756,154.5,0,137.5,0,3.5,517.1425,154.5,137.5
158,457.5,0.714,0.7385,495,67.4525,5.7855,1.3335,106.7855,59.28,7.357,1.086,225,78.464,4,428.62165,351.5,2611,258.5,350.0578,339.25,485.5,258.5,9,432.9,5023.5,4,4.972229,104.8,0,107.9,0,5,448.214,104.8,107.9
159,481.5,0,0,481.5,33.5,8.5715,1.2,140.35,25.5125,6.215,1.988,0,0,0,417.98515,388,1570.5,268.5,366.5718,357.5,491,268.5,12,202.685,2368,8.5,11.117048,138,0,119.5,0,8.5,486,138,119.5
160,480,0.7855,0.828,445.3575,40.722,5.7145,0.9015,51.929,27.1335,6.3575,1.1115,38.3575,36.08,3,422.77705,392.5,1033,285,385.4528,377.75,494.5,285,13,124.7,1552.5,0.5,0.595238,128.24,0,118.87,0,4.5,428.5715,128.24,118.87
161,435,0.429,0.535,412.5,76.7525,5.7855,1.724,60,29.5695,5.7145,2.0625,228.5715,1088.063,0,346.8689,318,759.5,259,327.0845,314.5,492,259,4,NA,NA,0,0,108.5,0,128.5,0,4,412.5,108.5,128.5
162,425,0.7855,0.8015,482.143,39.1285,7.643,1.3085,46.0715,27.009,6.214,2.547,147.143,62.305,0,342.0772059,331.5,630,264,337.1504059,331,488,264,1.5,NA,NA,0,0,130,0,130.5,0,8,482.143,130,130.5
163,465,1,1.18,485.362,64.8785,5.2145,1.882,43.214,10.154,5.357,1.4665,195,125.4185,4,388.8013635,374.25,623,281,373.23305,370.75,481,281,6.5,48.18182,437.5,0.5,0.6097561,135.5,0,137,0,3,485.362,135.5,137
164,345,0.8575,1.167,488.5715,83.5875,6.7145,2.6405,190.357,57.202,6,1.421,15,39.6865,0,364.9965643,178.0013796,713,278,357.3128962,350.25,496,278,2.5,112.5,258,0.5,0.602409639,120,0,117,0,6,369.643,120,117
165,300,1.65,1.2775,354.5,95.956,5.843,2.1295,32.4285,35.706,18,3.35,270,56.125,1.5,414.75315,381.5,776.5,233,374.5238,362.5,492,233,15,86.96875,1322,1.5,1.898734,107,0,102.5,0,5,400.2355,107,102.5
166,450,0,0,210,0,7.9285,0.6335,75.75,0,3.6785,1.65,350,0,0,343.16885,299,607,270,315.2,295.5,437,280,2,90,180,0.5,0.6493505,106.5,0,103.5,0,6.5,478.71,106.5,103.5
167,510,0.7145,1.0385,561,85,5.215,2.1565,57.8,20.4,6.89,2.105,25.7,55.5,1.5,383.75,347.5,1352.5,168,368.6,341,488.5,168,7,237,1587,8,10.145,133.5,0,130.5,0,2.5,561,133.5,130.5
168,457.5,2.714,1.8875,470.786,107.0315,4.929,1.894,15,29.5255,5.6355,1.668,112.214,113.5515,1,394.4525,385.5,569.5,318,389.8765,384.5,496,318,2.5,36.083335,94.5,0.5,0.6410255,146.12,0.5,157.845,0,4.5,432.5,148.62,157.845
169,198,0.2865,0.59,195.145,29.885,6.2,2.54,0,0,5.85,2.415,103.35,65.355,4.5,166.97,166.25,237,132,324.9,165.25,458,255,0,NA,NA,2,2.465,161.5,0,147,0,3.5,224.5,161.5,147
170,375,0.7855,0.723,444.5,81.0235,6.5,1.769,37.7145,36.798,5,1.113,0,0,7,490.30725,406.5,2697,147.5,381.4111,382.75,499.5,147.5,19,343.25,6506,1.5,1.807229,130.285,0,123.745,0,5,444.5,130.285,123.745
171,570,0.2145,0.433,523.2145,79.5235,7.2855,1.3625,67.857,28.069,4.7855,1.786,10.357,27.4025,0,339.07645,335.5,484.5,279,337.9354,334,462.5,279,0.5,NA,NA,1,1.265823,143.5,0,139.5,1,6,523.2145,143.5,144.5
172,457.5,1.9285,1.2075,473.5715,78.9475,5.286,1.767,45,25.5805,6.7855,1.3435,110.4285,78.521,0,389.64345,372.5,906,299.5,372.74975,370.5,487,299.5,6,86.15,725.5,1,1.1764705,121.5,0,116.5,0,3.5,462.857,121.5,116.5
173,490,0.7855,0.556,478.2145,27.6345,4.9285,0.945,23.929,10.8685,5.286,1.1745,0,0,1.5,345.6814,292,830.5,268,331.1911,321.5,472.5,268,3.5,6,647,0,0,171,1.5,146.5,0,4,454.643,178.5,146.5
174,465,0.7855,0.9255,514.2855,55.9405,7.9285,1.6455,85.7145,11.339,7.857,1.085,217.5,115.185,0,350.0442,322.5,667,277,332.0322,318.5,488.5,277,6,60.22222,455,1.5,1.8595756,100,0.5,84,0,3,492.857,102.5,84
175,465,1.9285,1.7925,472.85,80.7325,6.7145,1.4525,35,40.8605,5.8575,2.429,29.5715,54.982,0,344.35265,322.5,1288,281.5,332.29945,322,470.5,281.5,1,788,788,4,5.16665,119.5,2,116,1,7,468,129.5,121
176,530,0.429,0.535,497.857,73.9355,5.0715,1.45,65.3575,52.1315,6.643,1.4165,5.7145,15.1185,0,466.3448,400.5,1652.5,301.5,386.63095,383,491,301.5,12,467.95255,4970,5,6.6235205,154.5,0,150.5,0,4.5,497.857,154.5,150.5
177,379,0.286,0.4565,467.9285,59.426,6.5,2.468,42.4285,48.149,5.929,0.9605,14.7855,29.8745,0,338.49425,329.5,626,279.5,335.1512,329.25,441,279.5,1,126,126,0.5,0.5747125,141.5,0,133.5,0,4.5,454,141.5,133.5
178,442.5,0.3575,0.6455,466.0715,52.191,5.5715,2.3265,75,63.7,5.5715,2.219,170.7145,53.0355,2,392.5776356,361.25,973,206.5,363.6425939,355.5,493,206.5,6,256.6666667,NA,804.5,3.034638554,158.5,0,148,0.5,4.5,459.6425,158.5,150.5
179,560,0.7855,0.6755,447.0715,116.2505,7.0715,1.255,32.5,16.885,5.5,1.932,60,69.8485,1.5,352.4561729,337.25,755,293,345.3865513,336.5,478.5,293,2,129.25,258.5,2,2.476851852,156.5,0,133,0,8,436.3575,156.5,133
180,442.5,1.5,0.9345,426.7855,53.2065,6.2145,1.2995,26.3575,11.583,5.9285,1.3645,0,0,0.5,331.98775,318.25,542,271.5,328.87285,318,481,271.5,1,NA,NA,1.5,1.807867,131.5,0,125,0,6,426.7845,131.5,125
181,465,1.5,1.124,459.286,42.1165,5.9285,1.5485,40,21.412,5.8575,1.557,4.2145,11.15,0.5,407.1408334,337.25,1648.5,247.5,337.5541667,325.5,479,247.5,7.5,NA,NA,3,3.958333334,153,1.5,162,0,5.5,448.214,160.5,162
182,397.5,0,0,481.7855,157.7215,6.2715,2.737,91.093,99.0695,6.0645,1.759,5.7145,15.1185,0,372.125,354,631,283.5,356.1075,350,473.5,283.5,6.5,52.9215,346,0.5,0.65,124.635,0,106.115,0,3.5,481.7855,124.635,106.115
183,510,1.4285,1.3655,500.3575,76.607,6.286,1.204,54.6425,16.849,7.5,1.0575,217.143,29.277,0.5,359.1790124,342,892,270.5,346.5115222,341,452.5,270.5,2.5,222.5,645.5,1.5,1.851851852,120,0,132.5,0,4.5,500.3575,120,132.5
184,487.5,1.5715,1.413,513.9285,108.907,3.5,1.9345,27.5715,17.448,7.4285,1.6145,196.2855,86.551,1,362.582,341.5,1272.5,268,349.438,340.75,487.5,268,1.5,NA,NA,0,0,141.365,0,137.11,0,3,495.357,141.365,137.11
185,547.5,1.286,1.6475,489.2855,61.0045,7.286,0.9345,38.2145,37.4865,5.0715,1.2415,10,15.2755,0,315.6658728,306.25,477,266.5,314.4628632,306,460.5,266.5,0.5,NA,NA,1.5,1.786214626,114.905,0.5,107.36,0,7.5,496.4285,117.405,107.36
186,324,1.214,1.1835,408.7855,79.601,5.786,1.447,34.214,19.8385,5.2855,1.443,9.357,16.3215,0,491.1998905,382.5,7392.5,294.5,375.2050419,364,488.5,294.5,10,751.0416665,8221,1,1.204819277,134.905,0,127.43,0,4,408.7855,134.905,127.43
187,490,0.857,1.202,465.714,58.0685,6.5,1.4595,42.5,45.971,5.643,0.9755,159.8215,101.0555,0,348.8607595,335,597,249.5,344.4567933,333.5,461,266.5,1.5,70,103,0.5,0.632911393,121.575,0,119.11,0.5,5.5,465.714,121.575,121.61
188,420,0.143,0.278,467.143,55.5275,7.2145,1.401,73.661,33.581,2.429,0.976,0,0,2,367.8,355.5,708,293.5,360.755,354.75,485,293.5,2,143.75,287.5,0,0,118.62,0,112.41,0,6.5,462.857,118.62,112.41
189,390,2,1,427.143,68.791,5.857,1.345,17.143,29.277,5.286,0.488,24,32.634,0,389.0225187,380.75,582,313,384.1514412,378.5,495.5,313,2.5,40.375,122.5,1,1.197647734,133.66,0,124.365,0,6,422.143,133.66,124.365
190,455,0.0715,0.189,449.286,52.5875,7.5,1.429,29.2855,11.367,5.4285,1.395,55.357,86.5115,0,341.2018519,333,501,276,338.3063973,331,448,276,1,NA,NA,0.5,0.617283951,198.1,2.5,163.2,0,7.5,449.286,210.6,163.2
191,510,0.5,0.661,0,0,6.357,1.237,12.857,13.496,5.7855,1.276,10.7145,28.3475,0,346.5566527,341,467,280,346.5566527,341,467,280,0,NA,NA,0,0,140.5,0,125.5,0,6,450.357,140.5,125.5
192,405,0.429,1.134,453.928,39.6685,6.4285,1.315,76.7855,51.163,6.214,1.654,0,0,6.5,354.735,338.75,668,273.5,345.2126583,337.5,492,273.5,3,127.6,324,0,0,160.44,0,144.075,0,5,453.928,160.44,144.075
193,375,2,0.787,466.786,48.465,7.3575,0.9635,51.429,17.799,6.9285,1.464,87.643,68.16,3.5,305.9928434,297,426.5,260.5,305.9928434,297,426.5,260.5,0,NA,NA,0,0,131.25,0,127.365,0,5,452.857,131.25,127.365
194,390,0.5,0.535,397.857,55.6475,6.5,1.1835,97.1425,54.2385,7.643,1.3635,200,81.6495,1,366.0578314,337.5,2001.5,264,339.9757326,336,492,264,3,389.3,1704.5,6,7.186392628,105.5,0,95.5,0.5,7,384.643,105.5,98
195,322.5,0.143,0.244,205.5715,33.7915,5.0715,2.1425,0,0,6.2145,1.7375,5.357,14.1735,0,2058.533612,350,486.5,290.5,356.5802618,349.5,459.5,290.5,1,NA,NA,0,0,114.5,0,105,0,5,395.5715,114.5,105
196,435,0.2145,0.2675,4.2855,11.339,6.4285,1.5935,34.286,7.319,6.786,2.258,204.643,14.1735,0.5,427.6030449,408,911.5,310,401.686513,397.75,491.5,310,10.5,102.1388889,1035.5,0,0,151,0,129,0,4,486.4285,151,129
