ID ,"How many minutes did you sleep LAST NIGHT - i.e., the night before you took the cognitive tests? ",What was your MEAN number of times you awoke during the night?,What was the STANDARD DEVIATION of the number of times you awoke during the night?,What was your MEAN total minutes of sleep DURING THE NIGHT?,What was the STANDARD DEVIATION of your total minutes of sleep DURING THE NIGHT?,What was your MEAN restfulness rank?,What was the STANDARD DEVIATION of your restfulness rank?,What was your MEAN total MINUTES of active exercise over past 24 hours?,What was the STANDARD DEVIATION of the total MINUTES of active exercise over past 24 hours?,What was your MEAN stress level over the last 24 hours?,What was the STANDARD DEVIATION of your stress level over the last 24 hours?,What was your MEAN amount of caffeine (mg) you ingested in the past 24 hours?,What was the STANDARD DEVIATION of the amount of caffeine (mg) you ingested in the past 24 hours?,How many nights did you take something to help you sleep last week ,What was your mean RT?,What was your median RT?,What was your max RT?,What was your min RT?,What was your mean RT500?,What was your median RT500?,What was your max RT500??,What was your min RT500?,What was your number of lapses (column X)?,What was your mean lapse RT?,What was your cumulative lapse RT ?,What was your count of false starts ?,What was your false start RT?,"Memory Test: What was the total time it took you to complete the first test, in SECONDS? Do NOT record this in minutes and seconds.",Memory test: How many errors did you have on your first test?,"Memory Test: What was the total time it took you to complete the second test, in SECONDS? Do NOT record this in minutes and seconds.",Memory test: How many errors did you have on your second test?,"How rested do you feel right now, on a scale of 1-10, where 1=not rested at all and 10=very well rested? Please note, if you are filling out this survey AFTER your lab has ended, try to answer this based on how rested you felt DURING lab.",What was your MEAN total minutes of sleep DURING THE NIGHT?,Memory Test 1: Herustic score,Memory Test 2: Herustic score
19,525,0.7145,0.7175,495.857,43.3985,5.357,0.8435,80.571,33.2675,4.5715,0.753,123.643,34.662,0,349.3209939,342,479,277,349.3209939,342,479,277,0,NA,NA,0,0,117,0,137.5,0,5.5,495.857,117,137.5
20,405,0,0,419.357,45.51,6.5,1.068,25.3575,23.4455,5.429,1.5575,63.7145,61.7485,0,401.7595,375,1330,286,369.9155,369,492,286,8,184.375,1475,1,1.2659115,123.09,0,116.365,0,6,411.857,123.09,116.365
21,435,0.5715,1.0205,459.286,62.551,6.7145,1.606,51.786,20.783,4.5,1.976,320.7145,67.889,0,351.29365,342.75,524.5,286.5,349.1689,342.25,488.5,286.5,1,24.5,24.5,0,0,161,0,131.5,0,5,459.286,161,131.5
22,427.5,0.0715,0.189,438.9285,53.772,6.714,1.3085,145.5,39.7105,6.714,0.7385,212.8215,55.5815,0,354.27225,343,581,295,350.48435,342.5,469.5,295,1.5,63.75,82.5,0.5,0.5882355,170.5,0,112.5,0,6.5,430.3575,170.5,112.5
23,274.75,1,0,287.357,23.9575,6.5,1.0295,54.643,14.174,4.9365,1.9215,0,0,0,395.10695,376.5,1027,312.5,379.6294,373,482,312.5,4,128.585,777,0.5,0.6,139,0,144,0,7.5,287.357,139,144
24,520,0.5715,0.5115,582.857,63.918,7,1.704,30,0,3.643,2.181,210,0,0,412.865,384,1103.5,289.5,379.205,377.25,483,289.5,9.5,177.215,1437,0,0,131,0,128.5,0.5,5.5,582.855,131,131
25,550,0.2145,0.2675,517.357,46.6665,6.7325,1.1925,52.143,37.7105,7.0715,0.9825,19.5,33.4935,0,349.5659,332.25,1005,278.5,336.6503,331.75,447,278.5,2.5,227.66665,644,2,2.454568,159.5,1,151.5,0.5,6.5,506.643,164.5,154
26,495,0.571,0.786897897,522.857,74.936,7.857071429,0.69003278,54.28585715,22.991,2.714142857,1.253783171,155.7141429,107.371,0,368.1564577,352.75,756.5,297,359.974026,352,471,297,2.5,172.875,318,0.5,0.641025641,110,0,98.5,0,7,512.857,110,98.5
27,525,0.37845,0.7465,452.143,118.2875,6.714,1.438,35.357,11.627,7.0715,1.45,168.5,47.2775,3,368.84375,356.75,692,293,361.0715,355,493,293,2.615,108.875,288.5,0,0,105.225,0,92.925,0,5.5,439.286,105.225,92.925
28,435,0.429,0.661,432.143,46.0355,6.0715,1.2995,56.143,30.1075,6,2.54,10.7145,23.094,0,387.90595,350.75,1592.5,312.5,360.38435,350,482,312.5,4,NA,NA,0.5,0.595,198.5,0,131.5,0,4.5,430.357,198.5,131.5
29,450,1.5715,1.229,602.143,108.2105,6.286,1.38,51.786,13.545,5.1425,1.557,71.4285,59.0565,0,171.346,163,581,131,189.384,160.25,226.5,131.5,2.5,NA,NA,0,0,93.6,0,126,0,8.5,572.1425,93.6,126
30,382.5,1.5645,1.4125,255.793,94.9595,6.6215,1.8,70.5715,45.551,6.7,1.249,369.2855,104.4405,5.5,403.07135,385,937,305.5,385.65863,380,496,305.5,5.5,151.45,784.5,0.5,0.61,97.5,0,106.5,0,5,643.55,97.5,106.5
31,457.5,0.857,1.3885,477.5715,38.329,6.143,1.5225,24.1665,7.36,5.714,1.317,313.214,104.7895,0,361.3596946,351,588.5,282.5,352.3747299,349.25,475.5,282.5,4,41.75,167,1,1.183804988,126,0,108.5,0,5,475.5715,126,108.5
32,480,0.4285,0.6375,500.3575,115.875,5.7855,2.122,26.7855,19.4905,7.857,0.9645,300,0,1,367.185543,331.75,879,269,345.0156495,325,479,269,6,111.0625,824.5,3.5,4.555296469,125.5,0,113.5,0,3.5,481.0715,125.5,113.5
33,487.5,0,0,453.5715,40.99,5.7145,0.7765,48.5715,47.2455,6.5,0.9,210,0,4,413.2142857,404,672.5,312,398.9444445,390.5,490.5,312,3.426385434,128,383,2,2.400952382,147.5,0,130,0,4.5,453.5715,147.5,130
34,412.5,1,1,441.4285,48.633,6.50115,0.9525,46.4285,37.779,7.2855,0.556,286.7855,105.8475,3,803.3954,389.25,11295.5,277.5,365.0931491,359,494.5,277.5,18.5,1358.309006,30438.5,0,0,155,1,151.5,0,7.5,441.4285,160,151.5
35,487.5,1.643,1.8805,541.786,49.1925,5.357,3.347,68.9285,33.5895,6.3575,2.1815,315,130.6075,1.5,360.65755,334,859.5,232.5,344.518,329.5,493,232.5,5,100.75,555.5,2.5,3.0487805,117.85,0,110,0,6,520.357,117.85,110
36,510,1.927,0.879,504.5,50.5205,5.557,1.1255,50.5,29.213,3.6645,1.3225,4.25,11.35,0.5,428.85,346.25,3464.5,282,346.735,343,469,282,7,728.365,4992,7,9.054054054,129.5,0,127.5,0,5.5,498.0715,129.5,127.5
37,457.5,4.2855,2.242,503.929,65.027,5.5,0.8615,109.643,51.059,4.6425,0.88,32.143,31.339,1.5,372.9584114,338.1225,1923.5,302.5,348.5623219,338.7915,681.274,291.712,4,590.6666667,2256,0,0,177.19,4.5,158.89,0,6,502.5,199.69,158.89
38,498.5,2.0715,1.0955,477,54.907,7.428,1.34,101.0715,56.1515,5.5,1.2775,232.5,41.307,0.5,463.8483797,391.25,2053,327,389.1483711,383,492,327,10.5,321.381579,4954.5,0.5,0.625,164.5,0,141,0,8,469.786,164.5,141
39,447,0.3575,0.6375,401.5,74.459,5.5,0.787,25.714,20.702,5.4285,1.18,8.5,14.7735,0.5,401.13625,388.5,590,282.5,384.6555,381.5,490.5,282.5,9,36.9,324.5,0,0,79.5,0.5,80,0,5,395.0715,82,80
40,415,2.857,1.867,456.9285,85.6875,6.0715,1.936,33.214,18.2925,4.5715,2.223,30,51.235,0,333.125,323.75,498.5,271,329.17,323.25,431,271,1.5,NA,NA,0,0,114.345,0,102.44,0,4,455.5,114.345,102.44
41,485,0.786,0.875,516.787,92.2985,6.572,2.3885,39.6355,31.326,4.0705,1.977,185.0895,101.533,0,490.207381,420.75,2755,290,392.0872341,388,495.5,290,20,288.6743243,6725,1.5,1.785238095,159.5,1,150,0,3.5,513.927,164.5,150
42,441.5,0.2145,0.567,460.714,32.61,6.9285,1.18,82.857,36.5855,4.286,1.625,167.143,25.9775,0,328.7873563,161.5015055,452.5,283.5,327.7512063,323,415,283.5,0.5,NA,NA,0,0,136,0,131,0,7,460.714,136,131
43,595,2.5,1.237,547.143,62.433,6.3575,1.315,32.5,12.247,5.643,1.3935,0,0,1,371.08165,363.5,532,310,369.01055,362.75,469.5,310,1,32,32,0,0,136.5,0,132.5,0,5,547.143,136.5,132.5
44,480,0,0,462.857,18.225,6.9285,1.7115,78.571,10.293,6,2.0955,0,0,0,319.7443,310.5,598,258,317.304458,310.5,445.5,258,0.5,NA,NA,1,1.234567901,121,0,107.5,0,4.5,462.857,121,107.5
45,435,1.2715,0.895,436.5715,56.6345,5.857,1.819,77.5715,28.5475,6.643,1.348,12.9285,26.7095,0,404.449,382.5,864,311,382.465,377,499.5,311,7,144.25,969,0,0,129.5,0,122.5,0,6,414.7145,129.5,122.5
46,420,1.4285,0.9125,462.857,86.2155,4.0715,1.255,15.5,5.4435,8.2145,1.031,267.143,97.5905,7,440.9626888,421.75,1037.5,294.5,382.5912005,378.75,495.5,294.5,22,105.3859649,2498,0,0,148,1,140.5,0,2.5,462.857,153,140.5
47,535,0.143,0.378,500,46.1195,7.5715,0.9575,58.5715,21.9695,6.7855,0.8515,27.9285,34.416,0,371.6788453,350.5,785,277.5,355.2866667,344.5,483.5,277.5,4.5,147.8928572,711.5,2,2.503520576,117.51,0,109.5,0,7.5,500,117.51,109.5
48,465,1.5,0.8535,456.429,222.5585,6.357,1.4855,244.2855,71.624,6.786,1.73,3.2145,8.504,0.5,352.0120482,339,569,276,340.0897436,338.5,456,276,5,38,190,0,0,150.5,0,141,0,7,495,150.5,141
49,277.5,0.3575,0.6375,413.6425,141.0225,5.7855,2.781,22.1425,16.252,3.9285,2.6175,13.071,16.7455,0,369.5622553,325.25,1286.5,270,332.4791562,324,471,270,4.5,363,2298.5,1,1.219512195,134,0,112.5,0,7,387.9285,134,112.5
50,465,1.429,0.7555,435.357,57.714,8.857,0.378,35.357,16.4725,8.7855,0.3935,3,6.0615,0,357.0239547,349.5,547,283.5,351.9385803,347.25,487.5,283.5,2.5,40.625,75.5,1,1.204994193,114.5,0,107.5,0,6,426.786,114.5,107.5
51,460,0.7855,0.7675,475.786,39.9645,7,1.3345,29.643,19.074,6.2145,1.5245,99.2855,72.0305,0,338.55425,330.5,502,272,337.21975,330.25,446,272,0.5,NA,NA,0.5,0.625,151.5,0,132,0,6,461.5,151.5,132
52,555,1.357,1.098,563.5715,72.521,4,1.3625,162.857,91.1815,5.643,0.7235,90.696,88.4455,2.5,192.7710844,188,431,159,387.0849315,383,484,317,2.5,115.375,348,0.5,0.64935065,115,0,103.5,0,3,572.143,115,103.5
53,507.5,1.4285,1.0765,408.2145,123.953,5.357,1.767,229.643,56.6995,6.3575,1.555,0,0,6,300.4875,296,380,203,300.4899097,296,380,244.5,0,NA,NA,1.5,3.102409639,122.5,0,114.5,0,6,408.2145,122.5,114.5
54,540,0.9995,1.3445,541.4215,53.305,4.2715,0.6125,41.7835,8.8345,7.7135,0.6125,192.1415,23.505,0,351.7275,339,798,275.5,345.1185,337,481.5,275.5,1.5,279.5,306,1.5,1.87475,118,0,117.5,0,4.5,533.5715,118,117.5
55,480,0,0,486.4285,74.784,6.286,1.0955,43.9285,2.8345,7.5,0.408,444.286,82.6435,0,352.2826,340.25,649.5,286.5,345.73945,338.25,458.5,286.5,2,85.5,221.5,5.5,6.8132715,256.5,0,120.5,0,6,486.4285,256.5,120.5
56,517.5,1.143,0.9645,532.8575,72.5275,4.5,2.057,38.571,39.5055,4.3575,1.134,385.714,105.7365,6.5,650.9702249,371.75,7762,265.5,359.8927503,349.5,483,265.5,12.5,1029.515151,20790.5,3.5,4.505859994,198.76,0,151.35,0,1.5,518.5715,198.76,151.35
57,427.5,0.2145,0.433,422.1425,111.228,6.571,1.8065,0,0,6.9285,1.60365,164.2585,34.932,0,342.8737761,336.5,579,289.5,340.295969,336,449,289.5,0.5,NA,NA,2,2.478580171,126.1,0,104.77,0,5,414.643,126.1,104.77
58,465,1.143,1.421,450,112.0445,5.857,2.009,63.5715,56.4385,5.7145,2.4435,127.857,92.748,4.5,389.9090909,375.5,575,290.5,380.991219,374,499,290.5,4,52.41666667,246.5,0,0,120.5,0,112,0.5,6,428.5715,120.5,114.5
59,495,1.5,0.7555,510,22.378,7.714,1.001,29.286,17.5325,5.786,1.7445,5.7145,15.1185,2,387.3543957,346.5,1288.5,293.5,353.9115052,345,477,293.5,4,371.8571429,2039,4,4.945054945,145.5,0,127,0,5,510,145.5,127
60,430,0.5,0.661,470.5,80.809,6.4285,1.494,22.5,19.085,6.857,0.9645,121.4285,79.34,2,355.0822658,343,539.5,291,351.435987,341.75,466.5,291,1.5,37.25,64.5,54.5,1.265822785,103.5,0,107.5,0,3.5,459.0715,103.5,107.5
61,495,0.857142857,0.748013242,433.9287857,45.39515111,4.285785715,1.343673594,59.64285715,23.11333361,4.643,2.051,200,0,0,329.04875,312,540,269.5,324.2682,310.25,484.5,269.5,1.5,NA,NA,10.5,13.76923,131,0,121,0,5.5,433.9287857,131,121
62,525,1,1.905,556.0715,149.1315,5.143,2.0505,11.7855,17.4505,6.1425,1.7395,119.9285,84.9005,0,504.6300813,355.5,4981.5,277.5,360.5351824,352,489.5,277.5,5,1480.690476,10157.5,0.5,0.609756098,104.5,0,100.5,0,4,491.0715,104.5,100.5
63,322.5,1.357,1.352,417.5,84.4665,7.4285,0.9225,55,35.1175,6.857,0.7175,440.1,54.9045,0,396.28065,377.75,724.5,284.5,374.4705,370,496.5,284.5,9,74.0572,666.5,1,1.25,112,1,109.5,1,5.5,406.7855,117,114.5
64,375,1.214,1.275,446,83.479,6.643,1.28,0,0,7,1.526,26.786,38.325,1,416.96875,397.75,787.5,321,401.943,392.75,497.5,321,7,61.825,530.5,0.5,0.625,149.5,0,137,0,4.5,446,149.5,137
65,395,2.357,0.9,473.5205,77.2555,5.5715,1.3555,16.4285,9.6075,7.0715,4.81,18.9285,40.0315,0,399.1859756,343.75,2273,289,352.2857895,338.75,495,289,7,380.375,2763,3,3.704268293,103.5,0,106,0,6,464.9305,103.5,106
66,460,2.857,1.9795,525.357,126.692,6.2145,2.391,71.9285,36.2505,4.929,2.056,71.0715,66.474,0,450.6915,365,1680.5,294.5,368.2795,361.5,476.5,294.5,8,452.857,5680,0,0,120.15,0,108.85,0,7,494.643,120.15,108.85
67,570,0.5,0.8005,474.643,119.414,5.7145,2.061,46.0715,21.892,4.7855,1.9865,206.714,75.1515,1.5,1071.481507,442,11146.5,288.5,376.5961539,367,487.5,288.5,20.5,1179.925439,42585.5,5.5,8.297072785,1.95,0,1.82,0,3.5,458.5715,1.95,1.82
68,510,1.0715,1.7315,527.143,120.896,5.7855,1.3045,34.9285,43.4795,3.0715,1.684,95,69.8165,0,371.639994,364.75,655.5,298.5,365.2851412,321.25,479,298.5,2.5,NA,149.25,0,0,125.5,0,121,0,5,527.143,125.5,121
69,494,0.7145,0.6375,459.7855,43.0665,7.786,1.3045,23.2145,13.718,8.0715,1.465,151.7855,113.1325,0,382.4146931,358.5,774,273.5,356.62,348.5,491,273.5,8,119.625,1065.5,1,1.219512,126.5,0,116,0,5,459.7855,126.5,116
70,420,0.0715,0.189,460.357,77.869,6.857,0.9555,106.786,49.0435,6.5,1.068,147.1425,78.541,1,351.97275,317,1528,256.5,322.9676,314.5,455,256.5,4,NA,NA,0,0,117.135,0,109.25,0,7,440.3575,117.135,109.25
71,405,0.714,0.8535,471.786,50.756,4.143,1.594,44,23.498,5.357,1.1705,132.357,67.049,0,387.465,369.5,714,290.5,366.895,359.75,495.5,290.5,7.5,88.26,645,0,0,165,0,168,0,3,471.4285,165,168
72,440,1.0715,0.8205,430.714,77.5705,6.643,2.336,142.357,38.2855,4.5,2.1595,168.643,40.697,2,321.54,316,518,258.5,318.5,315,455,258.5,1,NA,NA,2,2.47,130,0.5,118.5,0,8,422.857,132.5,118.5
73,345,4.7855,2.0255,510.4285,127.4715,4.6425,1.557,65.714,49.1825,5.7145,1.8885,21.643,37.1335,1.5,377.4276163,366.25,697.5,297.5,369.1834611,364,481.5,297.5,3,98.00000002,294,0.5,0.625,138.905,0,118.36,0,3,428.5,138.905,118.36
74,465,0,0,545.3575,63.151,6.7145,1.8195,60,0,5.5,1.6905,80.7145,63.605,0,343.575889,318,1534.5,239.5,321.970933,317.5,456,239.5,2.5,485.1666667,1331.5,1.5,1.219512195,135.375,0,131.79,0,6,545.3485,135.375,131.79
75,375,1.143,1.391,414.643,65.8985,6.714,1.781,68.214,21.4725,7.2145,1.622,360.3575,144.163,0.5,375.3903945,369.25,556,288,372.9623457,368.5,489.5,288,1,NA,NA,0,0,194.41,0,198.655,0,5,410.357,194.41,198.655
76,480,0.7855,0.8935,529.2845,49.6305,7,1.032,51.4305,46.0135,5.0715,2.134,85.0935,22.4525,0,341.9225,323.75,574,268,334.7425,323,490,268,3,44.125,119,0,0,167,0,140.5,0,6.5,525.9985,167,140.5
77,340,0.631,0.5975,373.5715,72.73970781,6.3575,2.005,56.7855,8.504,7.4285,1.369,330,90.9215,2.5,373.82735,356.75,901,288.5,0.00278,321,473.5,288.5,3.5,179.625,670,1,1.1904,110,0,107.5,0,6,358.5715,110,107.5
78,457.5,2.5,1.615,426.4285,84.195,6.5,1.2235,58.214,36.887,4.786,1.9855,10.7145,28.3475,0,290.21555,286.5,486,240,288.6736,285.5,436,240,0.5,NA,NA,1.5,1.931402,121,0,110.5,0,7.5,426.4285,121,110.5
79,390,2.7855,1.758,505.7145,88.9155,5.5,2.637,47.8575,21.9355,7.9285,1.375,130.714,70.844,5.5,360.1029381,355.25,583.5,254.5,352.4558598,353.75,479,254.5,3.5,47.15,134.5,1.5,1.829806095,139,0,134.5,0,5,492.8575,139,134.5
80,525,2.5,1.676,577.5,76.551,5.2145,1.996,20.7145,5.634,5.786,1.371,55.7145,52.361,2,332.92055,325.5,472.5,265.5,331.7926,325.5,455.5,265.5,0.5,NA,NA,0.5,0.5813955,118.905,0,119.97,0,6.5,545.357,118.905,119.97
81,210,0.9335,0.74,533.5715,158.627,4.9105,3.2585,31.25,45.333,7.125,2.316,405.7145,127.7305,3.5,171.296,329.25,774.5,265.5,166.60145,165.75,497.5,265.5,3,NA,NA,2.5,3.02,115,0,106.5,0,5,316.4285,115,106.5
82,472.5,1.2855,1.984,493.214,23.2375,7,1.4045,84.2855,48.8035,7.2145,0.8205,98.4285,59.5325,4,370.37535,338,1322,284,345.9108,333.5,484,284,5,219,1107,1,0.6024095,135.5,0,118,0,7,470.3575,135.5,118
83,385,0.429,0.661,433.9425,127.421,7.2145,0.682,27.8575,24.914,7.5,0.9845,12.857,27.967,1,347.7856,330.75,958,264,333.2021,328.5,458.5,264,3,177.75,646.5,0,0,103.25,0,101.69,0,6,458.2145,103.25,101.69
84,420,0.5,0.488,456.093,54.011,4.7145,1.0655,66.4295,56.2695,4.5,1.124,82.4785,37.952,0,326.015,319,480.5,269.5,326.015,319,480.5,269.5,0,NA,NA,0.5,0.588,113,0,99,0,4.5,449.6645,113,99
85,482.5,1.2855,2.0265,516.071,54.2625,7.5715,1.86,102.714,43.0675,7,2.043,122.786,37.545,2,344.789,333.5,641,267,338.866,332.5,470.5,267,2,76.6665,142,2.5,3.269,101.5,0,100.5,0,7,512.857,101.5,100.5
86,462.5,1.857,0.795,472.143,30.6425,4.857,2.534,52.5,14.405,5.143,2.063,0,0,0,311.2329,296.25,565.5,258,308.96875,295.5,470.5,258,0.5,NA,NA,0,0,124.5,0,128.5,0,6,467.857,124.5,128.5
87,477.5,1.3575,1.4155,475.7145,42.7275,6.8575,1.326,53.643,35.1075,5.7145,0.9255,215.357,37.874,0.5,368.3866966,345.75,966.5,263,348.9179985,338.75,489,263,5,150.5,752.5,1,1.298701299,154.855,0,155.325,0,7,475,154.855,155.325
88,495,0,0,580.714,90.70573676,6.355,0.745,10.5,7.7335,4.8125,0.485,45,0,0,482.415,438.25,1152.5,292,395.371,393.75,497.5,292,23.5,NA,NA,5.5,7.2295,147,0,126,0,5,567.857,147,126
89,315,0.5,0.7195,546.4285,162.0285,6.5,1.2615,64.643,25.7855,9.0355,1.299,54.286,26.366,5.5,407.162,373,1072,286.5,366.16485,359.25,482,286.5,13,110.4857,1677,2.5,3.078892,142.775,0,123.86,0,5.5,527.143,142.775,123.86
90,460,1.4285,1.1415,512.5,73.6495,6.786,1.821,44.643,24.0815,6.643,1.275,195,39.6865,0,360.9936,345,686.5,292.5,351.04955,344.25,442.5,292.5,1.5,164,233.5,0,0,130.445,0,123.775,0,6,502.1425,130.445,123.775
91,467.5,0.357,0.5565,457.8575,62.4125,7.143,2.1435,0,0,5.2145,1.3135,304.2855,95.6835,2,347.5841,333.25,871.5,276.5,336.5459,330.25,497,276.5,2.5,356.375,464,1,1.3157895,111.985,0,108.96,0,7,457.143,111.985,108.96
92,405,0.7855,0.971,420.357,136.0145,5.357,2.3305,42.5,29.081,7.5715,1.611,25.7145,32.0715,4,497.9530269,392.25,1814.5,295.5,382.0732591,378.5,491,295.5,14.5,310.3888889,8030.5,0,0,153,0,162,1,5,420.357,153,167
93,465,2.286,0.6125,510,36.457,8.0715,1.0345,32.857,15.2475,7.7855,0.975,0,0,0,332.4762,314.75,504,270.5,328.96985,313.5,467.5,270.5,1.5,NA,NA,0,0,123.5,0,141,0,7,510,123.5,141
94,447.5,2.5715,23.6075,447.5,34.165,3.7145,0.859,65.357,26.6695,1.5715,1.0965,53.5715,9.449,0,164.15295,162,219,146,165.15295,161,214,142,3,NA,NA,6,4.6764705,141.5,0,66,0,7,466.07,141.5,66
95,442.5,0.714,1.001,472.143,68.182,8.071,1.7165,65.357,25.5505,5.7855,3.047,22.8575,45.7355,0,316.2636575,534.75,2068.5,342,445.8107793,459.75,499.5,342,48,228.1547449,10966.5,0,0,164.5,1.5,147,1,8,476.7855,172,152
